date,tower,room,affected_system,time_reported,time_resolved,problem,action,recommendation,status,attended_by,time
01/25/13,TBM TW,925,Telephone,10:00am,10:06am,Reported by RA defective plunger,Replaced defective tel unit included face plate. test ok,,done,Mark Ruaya,07:01:40 PM
01/25/13,TBM TW,730,Internet,7:20 pm,7:30 pm,requested lan cable,delivered lan cable,,done,Jeff Gaspar,11:03:11 PM
01/27/13,TBM TW,1125,Internet,8:25am,8;35am,Guest internet problem on his iphone,Assist guest connect her Iphone to the wireless. test ok,,done,Mark Ruaya,05:04:20 PM
01/28/13,TBM TW,1727,Internet,5:21pm,5:26pm,Guest request for a long lan cable,"Deliver 3m lan cable at rm1727,check the cable connection thru lan before leaving the rm, connection ok,alert on opera by Ms. lex for the pull out of cable",,Guest satisfy now,Rommel Sardoma,08:04:22 PM
01/30/13,TBM TW,735,Vingcard,10:30 am,10:45 am,RA called up that accesslock of guest room indicating lowbat,"Repalce battery and cassette,check events for correct room number and accesslock is functional on RA RFID card.",,Accesslock ok!,John Pacion,07:16:01 PM
01/30/13,TBM TW,1126,Internet,11:40 am,11:55am,Guest earlier assisted by Mark R due to slow WIFI.,"Assisted guest to connect to LAN cable on LAN PORT and check Gmail account, email was successfully received.",,Internet connection is stable.,John Pacion,07:17:54 PM
01/31/13,BHOTEL,1201,Vingcard,3:36pm,3:58pm,1201 vingcard wont open,"Check the vingcard doorlock using the key that borrowed at FO and open the 1201 door twice using guest key and foud ok, use the RA key and found ok too, advice the FO richard and francis to replace the guest key once the guest arrive",,Rm 1201 doorlock ok,Rommel Sardoma,04:36:59 PM
02/02/13,TBM MW,701,Internet,8:29pm,8:36pm,guest phone no login page,"Assist the guest on how to connect to wifi after connecting show the guest the login page and let the guest use the username and password it have,internet connected now",,Guest already satisfy,Rommel Sardoma,08:58:59 PM
02/07/13,TBM MW,901,Internet,3:10 pm,3:15 pm,internet assistance,when i got there the guest was already connected,,done,Jeff Gaspar,07:09:26 PM
02/07/13,TBM MW,610,Internet,7:10 pm,7:15 pm,internet assistance,when i got there the guest was already connected,,done,Jeff Gaspar,07:10:10 PM
02/08/13,TBM TW,2034,Internet,10:28am,10:38am,Guest internet connection.,Guest cant connect thru wireless. Found out wireless tplink router 20d hang reset AP with helped of Erick. Test ok both his laptop and phone,,done,Mark Ruaya,05:54:03 PM
02/09/13,TBM TW,2026,Internet,1:07pm,1:16pm,Geust internet connection thru wifi,Found out guest laptop wifi were turn off enable wifi assist guest entering the user and password. test internet connection ok. Advised that lan thru cable is also avaible.,,done,Mark Ruaya,04:43:45 PM
02/10/13,TBM TW,1822,Internet,3:05pm,3:14pm,Guest wants assistance on internet,"Check the laptop of the user and connect to the bellevue wifi, assist the user in inputting the username and password, internet connected now",,Guest internet ok now,Rommel Sardoma,03:33:43 PM
02/10/13,TBM TW,1132,Internet,11:00am,11:08am,Geust requesting for lan cable.,Delivery of lan cable. Guest refused for assistance,,done,Mark Ruaya,04:53:46 PM
